Train SISNR,Test SISNR,Train CL Loss,epoch
-9.791665062,-4.842687789,-0.426757023,1
-2.235761302,-1.547608995,-0.532203764,2
-0.232652378,-0.572572198,-0.599372912,3
0.475753656,-0.115131024,-0.644343286,4
0.961685543,0.124152793,-0.678291175,5
1.216262573,0.466748235,-0.695638172,6
1.566268019,0.620091678,-0.720619948,7
1.816817357,0.7835893,-0.734023496,8
2.078099255,1.032024033,-0.751105432,9
2.412253457,1.220616566,-0.767468789,10
2.463361294,1.41419603,-0.779800765,11
2.698864029,1.529181437,-0.790658824,12
2.911030569,1.707576226,-0.803186394,13
3.050518597,2.024280577,-0.809488016,14
3.234589738,2.011393181,-0.820761608,15
3.32782377,2.202616948,-0.825160757,16
3.6047617,2.350582621,-0.83718865,17
3.652795753,2.445517928,-0.839650108,18
3.879186361,2.758416231,-0.848929346,19
4.105873769,2.917445163,-0.857008471,20
4.201008451,3.029201018,-0.861230666,21
4.513089242,3.316404792,-0.865998914,22
4.531384437,3.318010534,-0.868976868,23
4.710599161,3.458088737,-0.87230104,24
4.750274612,3.481309373,-0.874609451,25
5.018238191,3.636550332,-0.881817114,26
4.992237822,3.721212601,-0.882628625,27
5.173118714,3.884389382,-0.886398275,28
5.297769516,3.82494227,-0.890206652,29
5.349559892,3.853900685,-0.892499978,30
5.510270503,4.05788902,-0.895189037,31
5.51350972,4.066751378,-0.896768716,32
5.596527915,3.97918108,-0.900453516,33
5.679388031,4.013620446,-0.901911001,34
5.679805756,4.107734557,-0.90249494,35
5.861021288,4.070451053,-0.905753884,36
5.865621659,4.152040161,-0.907072292,37
6.025487069,4.255359342,-0.910369631,38
5.94295008,4.381638469,-0.908410738,39
6.002146429,4.197889665,-0.911487935,40
6.029963709,4.180386856,-0.910566928,41
6.105308317,4.30613555,-0.914272468,42
6.196693851,4.447241664,-0.915265799,43
6.25581909,4.455137255,-0.916010257,44
6.357988665,4.153863989,-0.919476974,45
6.299341463,4.167737875,-0.917772333,46
6.337196904,4.516993292,-0.918251745,47
6.350022885,4.490038104,-0.919849484,48
6.424960598,4.470593121,-0.919754571,49
6.536195909,4.688449332,-0.922288985,50
6.547675025,4.723911978,-0.923846079,51
6.60247026,4.618660141,-0.923282666,52
6.622539689,4.588139867,-0.924490536,53
6.682478812,4.603711002,-0.924312853,54
6.676878975,4.657712281,-0.924989606,55
6.677097244,4.640148658,-0.926000751,56
6.791488986,4.860437276,-0.927699227,57
6.746689335,4.735820338,-0.927475427,58
6.83139075,4.583939305,-0.928463853,59
6.834303071,4.748718034,-0.927447486,60
6.913081092,4.720001936,-0.929524454,61
6.880779405,4.683712609,-0.929733771,62
6.840147726,4.792072522,-0.929545879,63
7.021891594,4.856451666,-0.929804908,64
6.995277389,4.668624338,-0.929660447,65
6.970469044,4.745775925,-0.93050461,66
7.115683925,4.935225613,-0.932663881,67
7.046257865,4.703718908,-0.931267027,68
7.065529869,4.78523861,-0.931714789,69
7.089909769,4.724561265,-0.931949192,70
7.160633518,4.665130235,-0.932854552,71
7.128716715,4.738682332,-0.931666313,72
7.132121148,4.924056108,-0.932551947,73
7.141916921,4.870610518,-0.933169159,74
7.253059618,4.87527716,-0.933254563,75
7.22145016,4.935012674,-0.933885217,76
7.282626875,4.760731058,-0.93427729,77
7.264130362,4.976276375,-0.933952239,78
7.39530668,5.008464327,-0.934739199,79
7.260513029,4.83373867,-0.934837691,80
7.333986221,5.101135595,-0.935499572,81
7.340933015,4.809391456,-0.935715983,82
7.372857555,4.943599483,-0.935689832,83
7.349872235,4.883691248,-0.936418533,84
7.395678674,4.979794036,-0.936288922,85
7.468106916,4.91763223,-0.935819557,86
7.330680155,5.048964871,-0.936143168,87
7.444566204,4.908549335,-0.937756352,88
7.452829961,5.033600826,-0.935696613,89
7.5130193,5.034206403,-0.936223803,90
7.475219727,4.993860392,-0.936842611,91
7.536227134,5.040269699,-0.937540672,92
7.479979761,5.074140869,-0.937402339,93
7.528062513,4.873686567,-0.937181457,94
7.602028662,5.024545388,-0.938013838,95
7.585322057,5.004311735,-0.938182606,96
7.558597965,5.136851817,-0.937653507,97
7.662735339,5.112686438,-0.938286226,98
7.595766837,5.223439004,-0.939386127,99
7.65653015,4.981663773,-0.938623321,100
7.72551818,5.16767115,-0.940684553,101
7.671687834,5.284375461,-0.940554569,102
7.634747644,5.295770302,-0.939551415,103
7.777924984,5.101961797,-0.940994268,104
7.744693864,5.179547327,-0.940851373,105
7.818280497,4.988812998,-0.94104266,106
7.789004895,5.098213784,-0.940397507,107
7.724330856,5.273762723,-0.940860416,108
7.779377276,5.029074132,-0.941392668,109
7.845899182,5.178481139,-0.941369755,110
7.792909607,5.324662937,-0.940280405,111
7.753864288,5.221854908,-0.940990538,112
7.937866134,5.35331136,-0.941723587,113
7.910556916,5.193574198,-0.943082023,114
7.918157454,5.202119168,-0.942388561,115
7.964574752,5.265872076,-0.94284318,116
7.8828101,5.349210294,-0.940859798,117
7.952231546,5.276321074,-0.942252376,118
8.007899853,5.438586,-0.942386685,119
7.917086955,5.113509323,-0.941980395,120
7.989783349,5.264072396,-0.942129833,121
7.914882383,5.207021814,-0.943222371,122
7.985563309,5.10683704,-0.942906803,123
8.059409018,5.409425769,-0.943435407,124
7.921651733,5.322713304,-0.942948043,125
7.998846715,5.07406074,-0.942985056,126
8.089486691,5.14487417,-0.94407073,127
8.116314042,5.227116011,-0.944021204,128
8.058796606,5.20111887,-0.944199751,129
8.105091879,5.158639718,-0.944142793,130
8.115888119,5.127230593,-0.944188018,131
8.133447201,5.416393774,-0.943570604,132
8.107772704,5.171322243,-0.944412581,133
8.142340045,5.211802296,-0.944722627,134
8.240777216,5.275337502,-0.944519916,135
8.206577301,5.211595003,-0.943848229,136
8.230317869,5.14109496,-0.944776708,137
8.241770191,5.010694368,-0.94513547,138
8.298629207,5.23235872,-0.944931417,139
8.3944233,5.088339468,-0.945687942,140
8.319822804,5.274593761,-0.945561957,141
8.266770117,5.060013574,-0.944893574,142
8.293941082,5.288591383,-0.945051741,143
8.396449058,5.347102741,-0.94605757,144
8.395147677,5.38580497,-0.945747841,145
8.400438801,5.231749535,-0.945457472,146
8.379911315,5.391899539,-0.945347676,147
8.403651361,5.25266926,-0.946155852,148
8.433264163,5.221390089,-0.946217498,149
8.501867602,5.367580034,-0.946498261,150
8.578865005,5.197784191,-0.94720463,151
8.492816756,5.136469873,-0.945873762,152
8.545214715,5.328417985,-0.94625688,153
8.584795752,5.331144176,-0.946409187,154
8.684556653,5.103306958,-0.947198676,155
8.667185783,5.341065982,-0.946771416,156
8.631968867,5.257005803,-0.946369206,157
8.638562848,5.473893058,-0.946676647,158
8.682533664,5.24878577,-0.947578178,159
8.578198218,5.416237704,-0.946631622,160
8.734178389,5.187671458,-0.947642782,161
8.617909555,5.15603378,-0.947264787,162
8.710290294,5.237565162,-0.946978832,163
8.803100494,5.214217287,-0.946971701,164
8.728249396,5.124942794,-0.948132298,165
8.704928429,5.362004103,-0.946983897,166
8.723774941,5.245855521,-0.947840035,167
8.925031354,5.214997038,-0.94971731,168
8.773582981,5.411758427,-0.947810544,169
8.893365829,5.290219521,-0.948357657,170
8.811659628,5.44660612,-0.948365073,171
8.84431113,5.354412201,-0.948059528,172
8.817378629,5.215670401,-0.948054064,173
8.926885082,5.122019134,-0.94861184,174
8.977523096,5.069189051,-0.948695179,175
8.971106406,5.237131095,-0.947968308,176
9.003714069,5.381891625,-0.94848349,177
8.954606118,5.043863688,-0.948226744,178
8.991797724,5.470005317,-0.94776949,179
9.02171864,5.295510897,-0.948694225,180
9.011484392,5.215805836,-0.948771035,181
9.032983934,5.315504637,-0.948773065,182
9.114962762,5.368165562,-0.949478692,183
9.13503936,5.334596243,-0.950129026,184
9.054641662,5.380882092,-0.949607482,185
9.182302629,5.155310404,-0.950138261,186
9.177140974,5.409372859,-0.949764759,187
9.254646486,5.280528026,-0.950658714,188
9.056180493,5.208467079,-0.94971352,189
9.172106835,5.307133591,-0.949413986,190
9.337271352,5.479004944,-0.950655289,191
9.20288049,5.165138839,-0.950865328,192
9.231942146,5.22507409,-0.950796325,193
9.30179436,5.174884491,-0.950343428,194
9.315176072,5.145052776,-0.951260855,195
9.218418121,5.299425013,-0.949499199,196
9.36759155,5.381235216,-0.950496489,197
9.294135401,5.351277115,-0.950374028,198
9.414135471,5.256858114,-0.951200249,199
9.375182521,4.99709419,-0.951286189,200
9.383228763,5.362283986,-0.950945256,201
9.386207273,5.267005693,-0.951189199,202
9.348273954,5.266434573,-0.950510096,203
9.449305504,5.367831169,-0.951240853,204
9.454288852,5.198699323,-0.951203135,205
9.516267284,5.3384955,-0.951805759,206
9.442030384,5.343443366,-0.951747835,207
9.528225253,5.451063717,-0.951353896,208
9.432497947,5.42545337,-0.951313551,209
9.504647224,5.481556762,-0.951898969,210
9.580933694,5.388821697,-0.951760798,211
9.620244734,5.263513194,-0.951607468,212
9.587637932,5.380195554,-0.952098856,213
9.639760264,5.472327836,-0.951887208,214
9.541653449,5.478746202,-0.951055515,215
9.545052959,5.222625453,-0.951616176,216
9.651986276,5.191405199,-0.951849576,217
9.677131161,5.424183732,-0.951663744,218
9.68386687,5.292236004,-0.951483284,219
9.655846934,5.523461483,-0.950830873,220
9.692189124,5.337060774,-0.950901368,221
9.692913732,5.37306083,-0.951176268,222
9.755357865,5.679577433,-0.95166499,223
9.740296087,5.498827657,-0.950556694,224
9.749591643,5.283401195,-0.951190779,225
9.775226439,5.430569561,-0.951387723,226
9.861525382,5.748155644,-0.951405585,227
9.827070698,5.460935969,-0.95143441,228
9.888422689,5.434879877,-0.951135264,229
9.902409061,5.174922781,-0.951330429,230
9.817920008,5.315981964,-0.951742574,231
9.899801716,5.327808021,-0.950629746,232
9.745290449,5.385817723,-0.950518118,233
9.850853766,5.37790932,-0.950077205,234
10.00451605,5.190997476,-0.951368367,235
10.04849289,5.351928584,-0.951864739,236
9.9065932,5.419800816,-0.951200622,237
