Train SISNR,Test SISNR,Train CL Loss,epoch
-10.56701456,-3.995938206,-0.436225759,1
-3.678438589,-0.932281194,-0.494710994,2
-2.14450923,0.022758019,-0.545082499,3
-1.331465069,0.576607461,-0.595509183,4
-0.750960828,1.077714122,-0.623769401,5
-0.249468654,1.511644409,-0.651046164,6
0.067722362,1.752637219,-0.674852742,7
0.420987392,2.044284078,-0.698031664,8
0.668532972,2.479696141,-0.719576176,9
0.840445679,2.567157875,-0.738460662,10
1.011428261,2.665759782,-0.75410052,11
1.228879463,2.711823134,-0.771461481,12
1.583140321,3.099954019,-0.793475371,13
1.719408907,3.24415255,-0.803958252,14
1.985318217,3.355627278,-0.816250486,15
2.281431034,3.434385685,-0.832981914,16
2.359833702,3.666230869,-0.838677941,17
2.503744371,3.830927483,-0.845776375,18
2.799860016,4.072118171,-0.858399451,19
2.944688663,4.227292772,-0.86235675,20
3.180803105,4.60468843,-0.871250534,21
3.40366333,4.498844031,-0.878968593,22
3.477270506,4.581419587,-0.882873494,23
3.578371711,4.719576343,-0.88726354,24
3.788553998,4.961180365,-0.893888518,25
3.916787356,4.984392369,-0.897430368,26
3.950653002,5.182974168,-0.899758318,27
4.063580759,5.126709867,-0.904927542,28
4.162617803,5.23658462,-0.908457087,29
4.265757941,5.370543563,-0.910646366,30
4.288243562,5.449456803,-0.91333466,31
4.309403539,5.432756428,-0.915304102,32
4.42891065,5.502300962,-0.919131285,33
4.534901187,5.5153301,-0.920896864,34
4.64215146,5.791542228,-0.923512721,35
4.582496993,5.78059539,-0.923954893,36
4.743461892,5.775966938,-0.925946008,37
4.714386985,5.721114278,-0.927204089,38
4.828768581,5.748712929,-0.929018147,39
4.808246449,5.816651217,-0.9302647,40
4.91329886,5.86368324,-0.931434445,41
5.05587931,5.994563413,-0.93341249,42
4.981004521,5.951404985,-0.933236782,43
4.927016407,6.073032014,-0.933424078,44
5.046721041,6.027903525,-0.93490438,45
5.249803871,6.173497653,-0.936182437,46
5.149220094,6.045579688,-0.936669679,47
5.14812243,6.162675913,-0.93714189,48
5.197821677,6.360281563,-0.938004022,49
5.348100051,6.18536946,-0.939630572,50
1.231969892,4.245023803,-0.725995658,51
3.959785394,5.706996163,-0.728397705,52
4.914103128,5.988904754,-0.765420785,53
5.307043523,6.317144219,-0.775689945,54
5.493363708,6.246193337,-0.772086769,55
5.619147956,6.62380813,-0.770550465,56
5.8680574,6.519829504,-0.764739523,57
5.890390739,6.699358328,-0.757886153,58
6.008660823,6.853992399,-0.749694036,59
6.169295207,6.852682741,-0.744778477,60
6.288371012,6.940970612,-0.736098243,61
6.459581673,6.961429954,-0.73374139,62
6.466570064,6.944775232,-0.724391131,63
6.493944645,7.158883023,-0.717482869,64
6.636439547,6.952877339,-0.71183382,65
6.793542832,6.968997463,-0.709538033,66
6.910861924,7.051878309,-0.703686634,67
6.877028137,7.047805397,-0.693887372,68
6.947840571,7.265493671,-0.687480269,69
7.106320694,7.215565602,-0.681563733,70
7.191745579,7.099981085,-0.67771042,71
7.247843906,7.43260328,-0.668247959,72
7.448489457,7.396561845,-0.662469691,73
7.509462804,7.504142189,-0.656707253,74
7.62639913,7.576685413,-0.646707051,75
7.574714735,7.564834277,-0.635394117,76
7.727057129,7.471389119,-0.630982608,77
7.881116092,7.221388038,-0.624494856,78
7.848802283,7.532803472,-0.611784849,79
8.100675523,7.780648446,-0.608687587,80
8.075284615,7.965202204,-0.597444447,81
8.184813619,7.834312034,-0.593423726,82
8.151702553,8.141235296,-0.578819469,83
8.250119716,7.817972589,-0.569771506,84
8.298822328,8.157021077,-0.562978286,85
8.394558981,8.098966583,-0.549606668,86
8.379744932,8.06835405,-0.540002536,87
8.437453255,8.124795636,-0.529826842,88
8.528024986,7.875824412,-0.521997998,89
8.639504522,8.393283478,-0.514903442,90
8.630466819,8.305729461,-0.504030849,91
8.753320903,8.464208213,-0.494509275,92
