Train SISNR,Test SISNR,Train CL Loss,epoch
-11.68055101,-5.019751632,-0.43106764,1
-4.591052562,-2.068761281,-0.529836526,2
-2.669087738,-0.547606248,-0.565883758,3
-1.661650421,0.204504988,-0.602343939,4
-1.108411776,0.834725744,-0.631509895,5
-0.56887917,1.335346444,-0.660266245,6
-0.094708281,1.837911803,-0.681123471,7
0.119842135,1.913344452,-0.694026584,8
0.601726744,2.227357948,-0.721033294,9
0.759018602,2.335851895,-0.737106066,10
1.074722444,2.633992534,-0.751824379,11
1.472552918,2.863404471,-0.771425495,12
1.456632778,3.062755042,-0.775330216,13
1.770809535,3.079387462,-0.793214101,14
1.867116403,3.443781642,-0.800626995,15
2.213329375,3.690442173,-0.814235386,16
2.331651557,3.725187508,-0.820842983,17
2.758107416,3.945145488,-0.835191894,18
2.766368791,4.093936773,-0.837915273,19
3.067372449,4.241340017,-0.848297372,20
3.248111531,4.532743891,-0.854981994,21
3.413410522,4.688001951,-0.860482875,22
3.511350378,4.796995099,-0.864297569,23
3.723877706,4.79454248,-0.870383736,24
3.778272159,5.108443193,-0.874453634,25
3.887800649,5.077377605,-0.877442192,26
3.91639927,5.177357558,-0.879863942,27
4.082160324,5.080662147,-0.883916682,28
4.250797205,5.335827676,-0.88911921,29
4.251714341,5.4900033,-0.891977936,30
4.363016583,5.433945417,-0.895271802,31
4.313791499,5.480732946,-0.896598307,32
4.531903833,5.525278083,-0.900671981,33
4.480172314,5.568180124,-0.901663197,34
4.649850145,5.722357798,-0.905054573,35
4.526576281,5.763239853,-0.905154655,36
4.751834773,5.74119974,-0.907836778,37
4.818122447,5.793902572,-0.910791753,38
4.896004379,6.001974519,-0.911446329,39
4.917592421,6.153632768,-0.913609592,40
4.891947389,5.965813057,-0.913790463,41
4.993011683,5.934991288,-0.916078279,42
5.048304662,6.069311229,-0.91746299,43
5.117260695,6.218233991,-0.918521306,44
5.264778852,5.946841081,-0.922029559,45
5.14935492,6.147279414,-0.921782834,46
5.202893972,6.163038047,-0.921480047,47
5.141840786,6.321583541,-0.921731913,48
5.367911503,6.31690108,-0.924146691,49
5.364905655,6.270587953,-0.92557162,50
5.457445502,6.265874036,-0.926272046,51
5.428094357,6.260978111,-0.927572055,52
5.491798565,6.324907891,-0.92765129,53
5.554942355,6.356834666,-0.928429546,54
5.509219676,6.237004534,-0.928193614,55
5.667855501,6.467019995,-0.929628601,56
5.56330809,6.555148514,-0.930415846,57
5.642501935,6.479501939,-0.931354368,58
5.618220374,6.504883385,-0.930589402,59
5.696954444,6.438508892,-0.931598537,60
5.721152693,6.749344126,-0.932624971,61
5.764463082,6.479067405,-0.933658715,62
5.733020633,6.566895056,-0.932726763,63
5.699258491,6.361742457,-0.933799108,64
5.899698958,6.73588709,-0.93506597,65
5.836270839,6.48696111,-0.934815742,66
5.681871444,6.424219433,-0.933981128,67
5.882115319,6.595797046,-0.935759334,68
5.957344085,6.811376969,-0.936714415,69
5.927313864,6.716937566,-0.936462568,70
6.019028068,6.745429071,-0.9376052,71
5.942439139,6.676973263,-0.93786069,72
5.943302199,6.650791796,-0.937422503,73
6.075351745,6.696212045,-0.938542599,74
6.039019004,6.678154365,-0.938314376,75
6.050012454,6.834298873,-0.938976018,76
6.096773937,6.691336854,-0.939245988,77
6.157225043,6.868012611,-0.939590475,78
6.201759756,6.780350161,-0.940258421,79
6.241982639,6.789982557,-0.940994637,80
6.15902631,6.761443392,-0.939830016,81
6.249497801,6.848545472,-0.940705532,82
6.256874815,6.83026526,-0.940341946,83
6.27489242,6.827321657,-0.940630008,84
6.269498959,6.897348245,-0.940753343,85
6.319989979,7.013794088,-0.9414356,86
6.277690738,6.873978106,-0.940889593,87
6.396588489,6.876017253,-0.941549834,88
6.42475304,6.960648076,-0.942378998,89
6.355837882,7.039785639,-0.942948144,90
6.419457614,6.918095597,-0.942593371,91
6.332010388,7.003877743,-0.941929113,92
6.383610144,6.992975918,-0.942357481,93
6.507152662,6.945426464,-0.942864591,94
6.550161466,7.008995493,-0.943044258,95
6.49800247,7.155329744,-0.94324507,96
6.548116401,7.069977689,-0.943000212,97
6.573753297,7.118995603,-0.943181871,98
6.504755005,7.108421087,-0.94297317,99
6.527315021,6.977770933,-0.943650499,100
6.597772121,6.944256719,-0.943597848,101
6.60200052,6.925418202,-0.944425285,102
6.554326594,6.814230156,-0.94329077,103
6.629264221,7.072885482,-0.943902362,104
6.603978097,7.122483142,-0.944174664,105
6.626463234,6.873287741,-0.943874517,106
6.601741731,6.913624326,-0.943485111,107
6.670244336,7.18467687,-0.943918267,108
6.771203533,7.061150209,-0.945342721,109
6.755996808,7.013245598,-0.944699837,110
6.805136278,7.100575058,-0.944707079,111
6.768240914,7.184719642,-0.945228508,112
6.731946051,7.036761141,-0.945159309,113
