Train SISNR,Test SISNR,Train CL Loss,epoch
-11.5935157,-8.956647635,-0.481898808,1
-7.644440836,-7.634043168,-0.459535215,2
-6.79663815,-6.977070313,-0.45675357,3
-6.026607221,-6.354406308,-0.458849742,4
-5.329513319,-5.759717371,-0.461260839,5
-4.743858291,-5.274370791,-0.464143541,6
-4.206177381,-4.697792038,-0.466162485,7
-3.719039109,-4.21576439,-0.462715012,8
-3.273841889,-3.762779655,-0.467547351,9
-2.749424954,-3.342864675,-0.475340348,10
-2.457147644,-3.080373444,-0.47422857,11
-2.142049651,-2.697580945,-0.478445032,12
-1.858711754,-2.549212,-0.479519534,13
-1.756485454,-2.294500064,-0.472028291,14
-1.550311988,-2.100774396,-0.47161378,15
-1.243027151,-1.905424916,-0.47470171,16
-1.086384148,-1.798336636,-0.478199044,17
-0.94949903,-1.752295534,-0.476539096,18
-0.920871948,-1.639405096,-0.473898529,19
-0.796128797,-1.461392252,-0.471961494,20
-0.722904655,-1.336633504,-0.474143043,21
-0.4861645,-1.263541655,-0.478229849,22
-0.470690542,-1.162295629,-0.473766146,23
-0.366656407,-1.222076107,-0.472293078,24
-0.352478604,-0.968056217,-0.472237139,25
-0.173791858,-0.959991097,-0.475497552,26
-0.127983223,-0.901035692,-0.472639506,27
-0.060362355,-0.784268566,-0.471533717,28
0.041782538,-0.744447526,-0.472382863,29
0.157083995,-0.700250294,-0.479612673,30
0.213412332,-0.623323467,-0.476254069,31
0.212536211,-0.640655165,-0.470810652,32
0.339501334,-0.506889314,-0.473034881,33
0.26862873,-0.45057423,-0.466371982,34
0.464921931,-0.458142706,-0.471823517,35
0.436812774,-0.421979157,-0.465909981,36
0.482317078,-0.372349309,-0.465122019,37
0.503490708,-0.247131551,-0.466103819,38
0.621650735,-0.160126862,-0.474963445,39
0.618164764,-0.290133441,-0.466753609,40
0.67148431,-0.152268655,-0.467748525,41
0.757150042,-0.157450345,-0.469221945,42
0.77879087,-0.127671415,-0.467753612,43
0.830946365,-0.050725929,-0.46628914,44
0.821770634,0.052786386,-0.467481247,45
0.798197759,-0.009019763,-0.460232801,46
0.8787359,-0.007942858,-0.46453196,47
0.991473429,0.052767824,-0.464262518,48
1.022129255,0.108546028,-0.46449736,49
0.9930007,0.073727709,-0.463603167,50
1.110802872,0.181732252,-0.463165732,51
0.92520768,0.252576503,-0.455198321,52
1.099613397,0.238518547,-0.458925662,53
1.111560672,0.183191022,-0.459652262,54
1.17584584,0.283734453,-0.462270861,55
1.195666816,0.350125757,-0.460364009,56
1.118193664,0.340864792,-0.453401279,57
1.197674922,0.333234594,-0.455366405,58
1.236947377,0.289651685,-0.461664782,59
1.304444382,0.456498677,-0.458219433,60
1.253678489,0.380363605,-0.456155963,61
1.218884314,0.541362388,-0.456604573,62
1.283922741,0.427932511,-0.456788964,63
1.31685948,0.4330812,-0.45272163,64
1.368726221,0.542555443,-0.458764103,65
1.490197478,0.51214764,-0.45972451,66
1.363352572,0.501063437,-0.455677014,67
1.297011327,0.649384025,-0.452750565,68
1.477112549,0.595321639,-0.45805341,69
1.32045403,0.429094738,-0.451148738,70
1.38616952,0.595176078,-0.452309186,71
1.364001812,0.464116703,-0.453603789,72
1.429094009,0.485750292,-0.453207286,73
1.548423621,0.489867021,-0.457098863,74
1.549879103,0.657292425,-0.46008655,75
1.389801599,0.695803789,-0.450274786,76
1.431235265,0.592237552,-0.449694559,77
1.380376722,0.658697637,-0.450798338,78
1.581632918,0.668310801,-0.456364363,79
1.600245203,0.704124317,-0.458256063,80
1.563365484,0.619564983,-0.455446923,81
1.562744464,0.575207197,-0.450476086,82
1.560602427,0.606986268,-0.455613675,83
1.536006497,0.639018674,-0.453303072,84
1.515017821,0.723335479,-0.447857337,85
1.545026222,0.674019378,-0.451102475,86
1.610197386,0.654547421,-0.455877885,87
1.581177633,0.727939044,-0.453498089,88
1.576707146,0.795212176,-0.450687366,89
1.613545512,0.821443669,-0.455233995,90
1.594513816,0.780205124,-0.454811777,91
1.702277522,0.842103256,-0.457106876,92
1.59533168,0.725753414,-0.449429636,93
1.639539311,0.686408626,-0.455307621,94
1.730461001,0.817014304,-0.454335728,95
1.606605061,0.825054166,-0.452298815,96
1.626529571,0.789732362,-0.450882559,97
1.615682344,0.890199302,-0.451813188,98
1.716915365,0.800791452,-0.455377587,99
1.5277895,0.794337227,-0.450417777,100
1.68112592,0.879953185,-0.456695111,101
1.643458086,0.799896338,-0.450157472,102
1.695879971,0.806848467,-0.456022184,103
1.75080822,0.744266901,-0.45407896,104
1.648711893,0.860102963,-0.449010629,105
1.732064005,1.032247974,-0.453463825,106
1.829307971,0.78045293,-0.457082464,107
1.699707212,1.005272918,-0.45467957,108
1.759685159,1.056817201,-0.457984795,109
1.682259552,0.809310354,-0.452388525,110
1.804673226,0.851236034,-0.458922545,111
1.716856883,0.810939931,-0.454947533,112
1.769360304,0.911701735,-0.458472022,113
1.732355345,0.957992959,-0.457893143,114
1.900057047,0.892610064,-0.462834302,115
1.801888051,0.957292117,-0.457195672,116
1.857949699,0.957255352,-0.457569929,117
1.907931062,0.917551768,-0.46445911,118
1.812790836,1.033858949,-0.457505226,119
1.870871627,0.899285557,-0.461284146,120
1.944858082,0.939997968,-0.464397951,121
1.800297772,0.900409622,-0.459213021,122
1.849004461,0.964762866,-0.460660196,123
2.009124614,0.890695792,-0.467968907,124
1.886204962,1.109470207,-0.463342407,125
1.877071481,1.108366464,-0.461727927,126
1.92151927,1.058466111,-0.463439961,127
2.011877633,1.084750527,-0.466159932,128
1.96867586,1.112554559,-0.465229069,129
1.950476527,0.923533361,-0.464583444,130
1.851009911,1.093143681,-0.461818582,131
1.875224027,1.05548869,-0.462175048,132
2.020974613,1.132950473,-0.466773548,133
2.009196739,1.145582693,-0.468762107,134
1.98853948,1.062468925,-0.46779756,135
2.043584708,1.104662599,-0.471332049,136
2.052398113,1.03966337,-0.469314227,137
2.050238286,1.147796359,-0.467605196,138
2.174695734,1.175611148,-0.473287244,139
2.123483477,1.034436074,-0.471946811,140
2.165270613,1.167888148,-0.472374844,141
2.151083385,1.147702216,-0.474009756,142
2.123506311,1.192445383,-0.473512213,143
2.233831709,1.167515159,-0.475144132,144
2.123372916,1.141174728,-0.473740717,145
2.269535757,1.187520253,-0.481686512,146
2.308627486,1.210126343,-0.479632048,147
2.205889287,1.212143952,-0.476487832,148
2.219716657,1.149648664,-0.472985258,149
2.230594966,1.186302151,-0.473989742,150
2.3576441,1.227873231,-0.483724067,151
2.350288064,1.3738726,-0.481975229,152
2.550811202,1.253597333,-0.489886384,153
2.358754981,1.423236165,-0.481472785,154
2.486037131,1.443023115,-0.493288647,155
2.528194085,1.357300493,-0.488353294,156
2.589941813,1.471462526,-0.493438686,157
2.624241394,1.375701091,-0.498590892,158
2.554188671,1.419848935,-0.492881204,159
2.650095905,1.507148181,-0.495805529,160
2.662018165,1.4646788,-0.496644915,161
2.722271396,1.488703213,-0.501335595,162
2.843601188,1.422502365,-0.504640028,163
2.867645225,1.448969823,-0.501667992,164
2.93003736,1.612956053,-0.509736425,165
2.90781421,1.661423274,-0.507967675,166
3.059314205,1.649669418,-0.514640363,167
2.998520751,1.449036217,-0.513864534,168
3.040140567,1.632980337,-0.511950621,169
2.975288107,1.820282377,-0.510331148,170
3.209453006,1.756410667,-0.52376193,171
3.258100617,1.851650496,-0.522559061,172
3.28547077,1.860059692,-0.521194175,173
3.211096925,1.906926716,-0.517509437,174
3.428781294,1.749597965,-0.526981535,175
3.47931918,1.9970145,-0.527016122,176
3.456215466,1.945147329,-0.530084186,177
3.437444625,2.218664503,-0.529339531,178
3.76247093,1.980821182,-0.540186663,179
3.658636931,2.133505081,-0.537433157,180
3.887612835,2.155091252,-0.543331217,181
3.797287426,2.124807247,-0.54348607,182
3.915286403,2.314247345,-0.544625682,183
3.849025988,2.438145875,-0.545739028,184
4.087770608,2.332157436,-0.548898383,185
3.915380063,2.10972369,-0.546197422,186
4.153577505,2.465814525,-0.553265102,187
4.076720891,2.467249593,-0.54870795,188
4.27731594,2.546133309,-0.553054498,189
4.165245656,2.540237949,-0.551926101,190
4.538671217,2.771511754,-0.553924453,191
4.526536734,2.533031764,-0.561409991,192
4.52997483,2.733579886,-0.564626194,193
4.57941223,2.621781198,-0.562268655,194
4.651932593,2.828321745,-0.564234238,195
4.703750264,2.72922494,-0.564317236,196
4.567661747,2.860519322,-0.560859451,197
4.561652214,2.804380526,-0.564318172,198
4.76918279,3.090059583,-0.564535531,199
4.825300447,2.839783538,-0.56927631,200
4.516576636,2.68323023,-0.568553561,201
4.971441777,3.064203304,-0.569637266,202
4.894993344,2.982380611,-0.567644673,203
4.875456764,2.999492319,-0.567599318,204
5.140843099,3.012436175,-0.575196891,205
5.09194351,3.188498712,-0.57460659,206
5.097026502,3.205378674,-0.576458931,207
4.91989428,2.960062929,-0.578549083,208
4.845433774,3.25434697,-0.577368752,209
5.284808436,3.176351331,-0.573625153,210
5.309239372,3.122121794,-0.57639992,211
5.03102957,3.15967635,-0.574978473,212
5.583413678,3.175480317,-0.57783482,213
5.530130879,3.329493089,-0.583163796,214
5.482090704,3.594181133,-0.58030668,215
5.364338152,3.149078615,-0.580529157,216
5.732990726,3.473522385,-0.584426276,217
5.780852672,3.478841436,-0.580210551,218
5.779889461,3.475127686,-0.585687937,219
5.771512001,3.499629555,-0.586289375,220
5.475980013,3.632648457,-0.582804816,221
5.937760368,3.565607553,-0.58479426,222
6.028855631,3.41116169,-0.588490834,223
6.129823423,3.595768787,-0.588338813,224
6.063033581,3.585451542,-0.591399352,225
5.975345442,3.484007936,-0.583577462,226
6.010683844,3.601429977,-0.586051226,227
6.117954162,3.571323108,-0.58672994,228
6.120608268,3.655644163,-0.59249021,229
6.174834621,3.748360479,-0.586312271,230
6.289380427,3.761594832,-0.593790249,231
6.235078627,3.584292811,-0.59113063,232
6.391642048,3.970850651,-0.589570659,233
6.419857117,3.672447168,-0.588677229,234
6.53388471,3.692563283,-0.593069986,235
6.471741907,3.781116572,-0.591592373,236
6.484259528,3.640371704,-0.593976819,237
6.331300505,3.831518087,-0.587737026,238
6.557477459,3.93710462,-0.590493916,239
6.620533805,3.767599607,-0.593923057,240
6.54460061,3.747519122,-0.587658819,241
6.809828851,3.941551875,-0.591480201,242
6.754454828,3.68683511,-0.589579048,243
6.584173079,3.787815943,-0.58929577,244
6.578626479,3.91182306,-0.59002127,245
6.629481469,4.136941799,-0.591335293,246
6.834205474,3.80698121,-0.591120645,247
6.75937225,3.795905307,-0.58921774,248
6.637798263,3.876484758,-0.588462701,249
6.918096512,3.902360474,-0.589234821,250
6.364097734,3.729606279,-0.590962919,251
6.577317222,3.938572525,-0.586787949,252
6.858351031,3.729539608,-0.589296818,253
6.856936839,4.021339111,-0.585479684,254
6.884920828,4.032946788,-0.583709121,255
6.801431825,3.937284482,-0.586112974,256
6.98999248,3.890626202,-0.579373579,257
7.038692428,4.073067319,-0.578658719,258
7.023219816,3.801710699,-0.589113509,259
6.940567893,4.1806877,-0.585299219,260
7.069596506,3.877538345,-0.587221171,261
6.989735065,3.985158872,-0.582317291,262
7.242382911,4.017919181,-0.583184811,263
7.182100742,4.066877496,-0.581225345,264
7.171633951,4.115331456,-0.578166379,265
7.391025774,3.861167549,-0.584689423,266
7.33006665,3.75181586,-0.580753574,267
7.25079638,3.969545968,-0.582291524,268
7.217633863,3.923982888,-0.583210664,269
7.364888191,4.170094748,-0.581607846,270
7.400232807,4.096767034,-0.579121178,271
7.418262943,4.276705699,-0.577569496,272
