Train SISNR,Test SISNR,Train CL Loss,epoch
-12.65665005,-3.966032004,-0.527537136,1
-3.869434439,-1.006603413,-0.549162231,2
-2.071565259,-0.006304578,-0.584039854,3
-1.310496077,0.472208437,-0.621169424,4
-0.894802225,0.910199686,-0.653911075,5
-0.682457092,1.30301314,-0.675143717,6
-0.322753475,1.631968121,-0.702124799,7
0.0555096,2.032802045,-0.722279893,8
0.49409396,2.181650551,-0.74749778,9
0.740035653,2.458171289,-0.767566327,10
0.973220857,2.514048065,-0.78353304,11
1.2008601,2.491006129,-0.802037118,12
1.399996798,3.016630761,-0.815837212,13
1.659108911,3.119232859,-0.830466384,14
1.967034876,3.387454931,-0.84577243,15
2.161473028,3.530608785,-0.858120548,16
2.347525455,3.806814126,-0.868039615,17
2.687345646,3.867954381,-0.879926639,18
2.914178491,4.064873306,-0.887006594,19
3.074541546,4.325138009,-0.890868615,20
3.215050012,4.59377503,-0.894835383,21
3.512458123,4.689961644,-0.899055576,22
3.48919744,4.692726096,-0.901916593,23
3.702925645,4.890600268,-0.905559676,24
3.799545832,4.915710044,-0.90919145,25
3.865205005,4.992334032,-0.910516514,26
4.070860103,5.164702686,-0.914188528,27
4.073545545,5.0916804,-0.915239949,28
4.143365234,5.215148977,-0.91717058,29
4.270701908,5.381826456,-0.918989884,30
4.305389985,5.538392532,-0.920166951,31
4.351113327,5.418632762,-0.922403239,32
4.488099128,5.552013095,-0.924107416,33
4.445196375,5.662260461,-0.923155796,34
4.572285406,5.741195432,-0.923612587,35
4.63859722,5.842367125,-0.92475369,36
4.708298221,5.810950303,-0.927389028,37
4.739606336,5.719958663,-0.928408287,38
4.822611019,6.101821987,-0.927939326,39
4.921972916,5.780213777,-0.929718403,40
4.865056455,6.005550345,-0.931328794,41
4.949535802,5.931900104,-0.930541076,42
5.053519934,6.181813971,-0.932829687,43
5.239486814,5.901877284,-0.935031777,44
5.113979638,6.05732379,-0.934179028,45
5.167834535,6.245296645,-0.934987966,46
5.174040109,6.178031349,-0.93525051,47
5.319090009,6.340732654,-0.937054357,48
5.232125178,6.293469532,-0.936008386,49
5.29639335,6.166224837,-0.936084175,50
3.297826006,5.545929567,-0.814217543,51
4.899178386,6.085808086,-0.762103451,52
5.288836628,6.354604133,-0.760070879,53
5.501674056,6.457324974,-0.756344022,54
5.734718576,6.522446338,-0.749186529,55
5.897111028,6.638122241,-0.741360893,56
5.935171083,6.821221375,-0.729637519,57
6.167472586,6.877030341,-0.727939749,58
6.266419664,6.826804034,-0.716436671,59
6.331056789,7.068730831,-0.703445153,60
6.441374689,6.967614881,-0.697199479,61
6.472189739,6.861329103,-0.68488371,62
6.626057744,7.022776834,-0.678384159,63
