Train SISNR,Test SISNR,Train CL Loss,epoch
-10.981,-4.001,-0.541,1
-4.297,-1.573,-0.562,2
-2.585,-0.298,-0.577,3
-1.653,0.345,-0.598,4
-1.089,1.007,-0.62,5
-0.516,1.103,-0.647,6
-0.292,1.507,-0.659,7
0.054,1.754,-0.685,8
0.236,2.015,-0.704,9
0.47,2.163,-0.72,10
0.786,2.512,-0.741,11
0.978,2.403,-0.757,12
1.126,2.392,-0.771,13
1.338,2.641,-0.787,14
1.406,3.016,-0.797,15
1.66,2.868,-0.815,16
1.829,3.229,-0.825,17
1.961,3.454,-0.837,18
2.199,3.506,-0.848,19
2.297,3.693,-0.856,20
2.453,3.801,-0.869,21
2.621,3.999,-0.879,22
2.773,4.047,-0.885,23
2.936,4.19,-0.893,24
3.079,4.25,-0.901,25
3.21,4.483,-0.907,26
3.309,4.509,-0.91,27
3.38,4.685,-0.914,28
3.58,4.691,-0.919,29
3.552,4.798,-0.922,30
3.681,4.914,-0.925,31
3.795,4.953,-0.93,32
3.936,5.064,-0.932,33
4.054,5.094,-0.935,34
4.06,5.193,-0.936,35
4.134,5.178,-0.938,36
4.294,5.422,-0.941,37
4.319,5.32,-0.942,38
4.334,5.565,-0.943,39
4.475,5.544,-0.945,40
4.517,5.649,-0.946,41
4.468,5.591,-0.947,42
4.514,5.644,-0.948,43
4.532,5.808,-0.949,44
4.664,5.597,-0.95,45
4.765,5.818,-0.952,46
4.832,5.976,-0.953,47
4.736,5.938,-0.953,48
4.896,5.894,-0.954,49
4.926,5.729,-0.955,50
4.895,5.909,-0.956,51
5.093,5.838,-0.957,52
4.988,6.03,-0.957,53
5.075,6.051,-0.957,54
5.205,6.153,-0.958,55
5.172,6.068,-0.958,56
5.185,6.141,-0.96,57
5.198,6.128,-0.96,58
5.176,6.204,-0.959,59
5.279,6.231,-0.96,60
5.252,6.253,-0.961,61
5.387,6.22,-0.962,62
5.31,6.228,-0.962,63
5.4,6.372,-0.962,64
5.483,6.28,-0.963,65
5.482,6.541,-0.963,66
5.589,6.419,-0.964,67
5.476,6.345,-0.963,68
5.552,6.371,-0.964,69
5.573,6.418,-0.964,70
5.622,6.254,-0.965,71
5.601,6.489,-0.965,72
5.577,6.552,-0.965,73
5.801,6.538,-0.966,74
5.646,6.565,-0.966,75
5.742,6.466,-0.965,76
5.766,6.526,-0.966,77
5.736,6.579,-0.966,78
5.821,6.597,-0.967,79
5.715,6.675,-0.967,80
5.762,6.704,-0.967,81
5.904,6.731,-0.968,82
5.833,6.421,-0.968,83
5.901,6.446,-0.968,84
5.91,6.693,-0.968,85
5.923,6.646,-0.969,86
5.89,6.676,-0.969,87
5.985,6.602,-0.969,88
5.91,6.74,-0.969,89
5.935,6.812,-0.969,90
6.05,6.767,-0.969,91
6.057,6.827,-0.969,92
6.073,6.605,-0.97,93
6.019,6.664,-0.969,94
6.153,6.695,-0.97,95
6.12,6.844,-0.971,96
6.084,6.756,-0.97,97
6.118,6.7,-0.97,98
6.077,6.856,-0.97,99
6.222,6.572,-0.971,100
6.113,6.678,-0.972,101
6.09,6.94,-0.971,102
6.201,6.86,-0.971,103
6.286,6.976,-0.972,104
6.21,6.829,-0.972,105
6.313,6.708,-0.972,106
6.299,6.777,-0.972,107
6.337,6.937,-0.972,108
6.237,6.971,-0.972,109
6.384,6.913,-0.973,110
6.203,6.883,-0.972,111
6.247,6.764,-0.973,112
6.345,6.855,-0.972,113
6.403,6.756,-0.973,114
6.381,6.948,-0.973,115
6.376,6.854,-0.973,116
6.498,6.944,-0.974,117
6.555,6.965,-0.974,118
6.344,6.882,-0.973,119
6.401,7.097,-0.974,120
6.511,7.052,-0.973,121
6.537,6.9,-0.973,122
6.575,7.065,-0.974,123
6.482,6.973,-0.973,124
6.458,7.048,-0.974,125
6.506,7.012,-0.974,126
6.566,7.051,-0.974,127
6.65,6.929,-0.974,128
6.687,6.732,-0.975,129
6.574,6.959,-0.974,130
6.743,6.883,-0.975,131
6.741,6.829,-0.975,132
6.736,7.124,-0.974,133
6.605,6.969,-0.974,134
6.651,7.066,-0.974,135
6.736,6.976,-0.974,136
6.692,6.949,-0.975,137
6.742,6.914,-0.975,138
6.721,6.989,-0.975,139
6.649,7.099,-0.975,140
6.792,7.023,-0.975,141
6.819,6.816,-0.975,142
6.769,6.977,-0.975,143
6.867,7.191,-0.975,144
6.868,7.099,-0.974,145
6.75,6.978,-0.975,146
6.936,7.031,-0.975,147
6.916,7.024,-0.975,148
6.902,7.034,-0.975,149
6.968,7.138,-0.975,150
6.922,7.026,-0.975,151
7.015,7.034,-0.975,152
6.929,7.238,-0.975,153
6.924,7.037,-0.975,154
7.053,7.047,-0.975,155
7.057,6.854,-0.975,156
7.058,7.045,-0.975,157
7.04,6.941,-0.974,158
7.018,7.318,-0.974,159
7.054,6.918,-0.974,160
7.173,7.076,-0.974,161
7.115,7.171,-0.974,162
7.247,7.349,-0.974,163
7.079,7.26,-0.973,164
7.292,7.369,-0.974,165
7.265,7.328,-0.974,166
7.303,7.364,-0.974,167
7.211,7.096,-0.974,168
7.268,7.094,-0.974,169
7.222,7.27,-0.973,170
7.18,7.277,-0.972,171
7.181,7.272,-0.972,172
7.356,7.476,-0.972,173
7.386,7.296,-0.973,174
7.31,7.238,-0.973,175
7.418,7.47,-0.972,176
7.405,7.543,-0.972,177
7.43,7.378,-0.972,178
7.44,7.358,-0.972,179
7.337,7.314,-0.971,180
7.461,7.289,-0.971,181
7.607,7.384,-0.971,182
7.511,7.43,-0.972,183
7.492,7.558,-0.971,184
7.637,7.288,-0.971,185
7.645,7.603,-0.971,186
7.612,7.492,-0.972,187
7.591,7.529,-0.971,188
7.698,7.446,-0.971,189
7.603,7.485,-0.97,190
7.765,7.416,-0.97,191
7.694,7.697,-0.971,192
7.748,7.337,-0.971,193
7.737,7.571,-0.971,194
7.759,7.448,-0.97,195
7.771,7.741,-0.971,196
7.791,7.627,-0.971,197
7.703,7.502,-0.97,198
7.818,7.598,-0.97,199
7.796,7.589,-0.97,200
7.849,7.662,-0.97,201
7.904,7.708,-0.97,202
7.992,7.817,-0.97,203
7.902,7.859,-0.97,204
7.924,7.844,-0.969,205
8.006,7.766,-0.969,206
7.902,7.786,-0.969,207
8.087,7.632,-0.97,208
7.979,7.661,-0.97,209
8.058,7.789,-0.969,210
8.007,7.949,-0.969,211
7.978,7.777,-0.969,212
7.902,7.646,-0.97,213
8.052,7.973,-0.97,214
8.051,7.89,-0.969,215
8.117,7.912,-0.97,216
8.05,7.727,-0.969,217
8.13,8.17,-0.97,218
8.075,7.733,-0.969,219
8.105,7.923,-0.969,220
8.051,7.726,-0.969,221
8.196,8.05,-0.969,222
8.133,8.047,-0.969,223
8.121,7.974,-0.968,224
8.252,8.25,-0.969,225
8.135,7.842,-0.967,226
8.244,7.898,-0.967,227
8.161,7.948,-0.967,228
8.283,8.101,-0.967,229
8.251,8.011,-0.968,230
8.213,7.965,-0.968,231
8.222,7.943,-0.968,232
8.248,7.868,-0.967,233
8.318,7.996,-0.967,234
8.345,8.204,-0.968,235
8.46,7.932,-0.968,236
8.361,8.008,-0.968,237
8.356,8.026,-0.968,238
8.347,7.815,-0.967,239
8.349,8.171,-0.968,240
8.324,8.068,-0.967,241
8.363,8.211,-0.968,242
8.401,8.104,-0.968,243
8.374,8.168,-0.967,244
8.411,8.055,-0.968,245
8.388,8.095,-0.968,246
8.392,8.113,-0.967,247
8.433,8.048,-0.967,248
8.492,7.999,-0.967,249
8.5,8.302,-0.966,250
8.527,8.129,-0.967,251
8.498,8.188,-0.967,252
8.581,8.181,-0.967,253
8.55,8.17,-0.967,254
8.529,8.234,-0.966,255
