Train SISNR,Test SISNR,Train CL Loss
-10.981,-4.001,-0.541
-4.297,-1.573,-0.562
-2.585,-0.298,-0.577
-1.653,0.345,-0.598
-1.089,1.007,-0.620
-0.516,1.103,-0.647
-0.292,1.507,-0.659
0.054,1.754,-0.685
0.236,2.015,-0.704
0.470,2.163,-0.720
0.786,2.512,-0.741
0.978,2.403,-0.757
1.126,2.392,-0.771
1.338,2.641,-0.787
1.406,3.016,-0.797
1.660,2.868,-0.815
1.829,3.229,-0.825
1.961,3.454,-0.837
2.199,3.506,-0.848
2.297,3.693,-0.856
2.453,3.801,-0.869
2.621,3.999,-0.879
2.773,4.047,-0.885
2.936,4.190,-0.893
3.079,4.250,-0.901
3.210,4.483,-0.907
3.309,4.509,-0.910
3.380,4.685,-0.914
3.580,4.691,-0.919
3.552,4.798,-0.922
3.681,4.914,-0.925
3.795,4.953,-0.930
3.936,5.064,-0.932
4.054,5.094,-0.935
4.060,5.193,-0.936
4.134,5.178,-0.938
4.294,5.422,-0.941
4.319,5.320,-0.942
4.334,5.565,-0.943
4.475,5.544,-0.945
4.517,5.649,-0.946
4.468,5.591,-0.947
4.514,5.644,-0.948
4.532,5.808,-0.949
4.664,5.597,-0.950
4.765,5.818,-0.952
4.832,5.976,-0.953
4.736,5.938,-0.953
4.896,5.894,-0.954
4.926,5.729,-0.955
4.895,5.909,-0.956
5.093,5.838,-0.957
4.988,6.030,-0.957
5.075,6.051,-0.957
5.205,6.153,-0.958
5.172,6.068,-0.958
5.185,6.141,-0.960
5.198,6.128,-0.960
5.176,6.204,-0.959
5.279,6.231,-0.960
5.252,6.253,-0.961
5.387,6.220,-0.962
5.310,6.228,-0.962
5.400,6.372,-0.962
5.483,6.280,-0.963
5.482,6.541,-0.963
5.589,6.419,-0.964
5.476,6.345,-0.963
5.552,6.371,-0.964
5.573,6.418,-0.964
5.622,6.254,-0.965
5.601,6.489,-0.965
5.577,6.552,-0.965
5.801,6.538,-0.966
5.646,6.565,-0.966
5.742,6.466,-0.965
5.766,6.526,-0.966
5.736,6.579,-0.966
5.821,6.597,-0.967
5.715,6.675,-0.967
5.762,6.704,-0.967
5.904,6.731,-0.968
5.833,6.421,-0.968
5.901,6.446,-0.968
5.910,6.693,-0.968
5.923,6.646,-0.969
5.890,6.676,-0.969
5.985,6.602,-0.969
5.910,6.740,-0.969
5.935,6.812,-0.969
6.050,6.767,-0.969
6.057,6.827,-0.969
6.073,6.605,-0.970
6.019,6.664,-0.969
6.153,6.695,-0.970
6.120,6.844,-0.971
6.084,6.756,-0.970
6.118,6.700,-0.970
6.077,6.856,-0.970
6.222,6.572,-0.971
6.113,6.678,-0.972
6.090,6.940,-0.971
6.201,6.860,-0.971
6.286,6.976,-0.972
6.210,6.829,-0.972
6.313,6.708,-0.972
6.299,6.777,-0.972
6.337,6.937,-0.972
6.237,6.971,-0.972
6.384,6.913,-0.973
6.203,6.883,-0.972
6.247,6.764,-0.973
6.345,6.855,-0.972
6.403,6.756,-0.973
6.381,6.948,-0.973
6.376,6.854,-0.973
6.498,6.944,-0.974
6.555,6.965,-0.974
6.344,6.882,-0.973
6.401,7.097,-0.974
6.511,7.052,-0.973
6.537,6.900,-0.973
6.575,7.065,-0.974
6.482,6.973,-0.973
6.458,7.048,-0.974
6.506,7.012,-0.974
6.566,7.051,-0.974
6.650,6.929,-0.974
6.687,6.732,-0.975
6.574,6.959,-0.974
6.743,6.883,-0.975
6.741,6.829,-0.975
6.736,7.124,-0.974
6.605,6.969,-0.974
6.651,7.066,-0.974
6.736,6.976,-0.974
6.692,6.949,-0.975
6.742,6.914,-0.975
6.721,6.989,-0.975
6.649,7.099,-0.975
6.792,7.023,-0.975
6.819,6.816,-0.975
6.769,6.977,-0.975
6.867,7.191,-0.975
6.868,7.099,-0.974
6.750,6.978,-0.975
6.936,7.031,-0.975
6.916,7.024,-0.975
6.902,7.034,-0.975
6.968,7.138,-0.975
6.922,7.026,-0.975
7.015,7.034,-0.975
6.929,7.238,-0.975
6.924,7.037,-0.975
7.053,7.047,-0.975
7.057,6.854,-0.975
7.058,7.045,-0.975
7.040,6.941,-0.974
7.018,7.318,-0.974
7.054,6.918,-0.974
7.173,7.076,-0.974
7.115,7.171,-0.974
7.247,7.349,-0.974
7.079,7.260,-0.973
7.292,7.369,-0.974
7.265,7.328,-0.974
7.303,7.364,-0.974
7.211,7.096,-0.974
7.268,7.094,-0.974
7.222,7.270,-0.973
7.180,7.277,-0.972
7.181,7.272,-0.972
7.356,7.476,-0.972
7.386,7.296,-0.973
7.310,7.238,-0.973
7.418,7.470,-0.972
7.405,7.543,-0.972
7.430,7.378,-0.972
7.440,7.358,-0.972
7.337,7.314,-0.971
7.461,7.289,-0.971
7.607,7.384,-0.971
7.511,7.430,-0.972
7.492,7.558,-0.971
7.637,7.288,-0.971
7.645,7.603,-0.971
7.612,7.492,-0.972
7.591,7.529,-0.971
7.698,7.446,-0.971
7.603,7.485,-0.970
7.765,7.416,-0.970
7.694,7.697,-0.971
7.748,7.337,-0.971
7.737,7.571,-0.971
7.759,7.448,-0.970
