Normal Train SISNR,Normal Test SISNR,Normal Train CL Loss,Normal-few Train SISNR,Normal-few Test SISNR,Normal-few Train CL Loss,SimSiam Train SISNR,SimSiam Test SISNR,SimSiam Train CL Loss,SimSiam-few Train SISNR,SimSiam-few Test SISNR,SimSiam-few Train CL Loss,SimSiam-pretrain Train SISNR,SimSiam-pretrain Test SISNR,SimSiam-pretrain Train CL Loss,SimSiam-round Train SISNR,SimSiam-round Test SISNR,SimSiam-round Train CL Loss
-18.25255305,-13.81920582,-0.383972049,-11.5935157,-8.956647635,-0.481898808,-10.981,-4.001,-0.541,-7.851229329,-2.512469189,-0.561307879,-12.65665005,-3.966032004,-0.527537136,-7.245272361,-1.007100446,-0.54180003
-14.08555198,-12.21500424,-0.35706237,-7.644440836,-7.634043168,-0.459535215,-4.297,-1.573,-0.562,-0.952405907,-1.136255432,-0.649910873,-3.869434439,-1.006603413,-0.549162231,-1.87214233,0.490148959,-0.60139372
-12.64754903,-10.62735449,-0.356925962,-6.79663815,-6.977070313,-0.45675357,-2.585,-0.298,-0.577,-0.018666491,-0.491046047,-0.696431129,-2.071565259,-0.006304578,-0.584039854,-0.693478211,1.110597563,-0.646560794
-11.22553337,-9.308135573,-0.361665398,-6.026607221,-6.354406308,-0.458849742,-1.653,0.345,-0.598,0.654027142,-0.122191229,-0.730321307,-1.310496077,0.472208437,-0.621169424,-0.042701461,1.858066704,-0.686065277
-9.832670152,-8.167401314,-0.364044157,-5.329513319,-5.759717371,-0.461260839,-1.089,1.007,-0.62,1.137961748,0.360439896,-0.750128961,-0.894802225,0.910199686,-0.653911075,0.480778949,2.137937503,-0.715328714
-8.80942139,-6.969289923,-0.357426767,-4.743858291,-5.274370791,-0.464143541,-0.516,1.103,-0.647,1.530843527,0.638848916,-0.768060157,-0.682457092,1.30301314,-0.675143717,0.703123569,2.380128809,-0.738706376
-7.819868892,-6.086886732,-0.359836436,-4.206177381,-4.697792038,-0.466162485,-0.292,1.507,-0.659,1.986531696,1.009659952,-0.788366254,-0.322753475,1.631968121,-0.702124799,1.072016919,2.716015164,-0.762095781
-6.890537158,-5.232239111,-0.361092858,-3.719039109,-4.21576439,-0.462715012,0.054,1.754,-0.685,2.222353697,1.21908811,-0.803063125,0.0555096,2.032802045,-0.722279893,1.369591771,2.87774149,-0.788198058
-6.208971262,-4.647877359,-0.360879046,-3.273841889,-3.762779655,-0.467547351,0.236,2.015,-0.704,2.482381044,1.35640546,-0.820741715,0.49409396,2.181650551,-0.74749778,1.665211007,3.090688034,-0.803970832
-5.702819765,-4.2114042,-0.360485907,-2.749424954,-3.342864675,-0.475340348,0.47,2.163,-0.72,2.665128746,1.715622214,-0.834380546,0.740035653,2.458171289,-0.767566327,1.985427994,3.398132606,-0.821578076
-5.283112779,-3.470545856,-0.358996998,-2.457147644,-3.080373444,-0.47422857,0.786,2.512,-0.741,2.938890219,1.802277671,-0.850965046,0.973220857,2.514048065,-0.78353304,2.11163995,3.556507822,-0.831625951
-4.75711707,-3.236229396,-0.36728827,-2.142049651,-2.697580945,-0.478445032,0.978,2.403,-0.757,3.200606292,2.086275467,-0.862092676,1.2008601,2.491006129,-0.802037118,2.410992797,3.713512437,-0.846219435
-4.427632987,-2.721112841,-0.36201946,-1.858711754,-2.549212,-0.479519534,1.126,2.392,-0.771,3.477613141,2.333207304,-0.872664663,1.399996798,3.016630761,-0.815837212,2.599685788,3.9528754,-0.857333302
-4.044580631,-2.32557475,-0.366906616,-1.756485454,-2.294500064,-0.472028291,1.338,2.641,-0.787,3.556707859,2.552546665,-0.880909081,1.659108911,3.119232859,-0.830466384,2.93282681,4.265038637,-0.866961943
-3.794495031,-2.006224811,-0.361039927,-1.550311988,-2.100774396,-0.47161378,1.406,3.016,-0.797,3.791416114,2.642295097,-0.886567833,1.967034876,3.387454931,-0.84577243,2.985289134,4.304285566,-0.873088563
-3.411338039,-1.768408632,-0.370074159,-1.243027151,-1.905424916,-0.47470171,1.66,2.868,-0.815,4.10462934,2.975050874,-0.894505445,2.161473028,3.530608785,-0.858120548,3.228876814,4.434817358,-0.878637912
-3.197110943,-1.478016037,-0.367069769,-1.086384148,-1.798336636,-0.478199044,1.829,3.229,-0.825,4.324669953,3.079117579,-0.898940234,2.347525455,3.806814126,-0.868039615,3.373862959,4.608248067,-0.883256605
-2.889186844,-1.19122165,-0.369177973,-0.94949903,-1.752295534,-0.476539096,1.961,3.454,-0.837,4.526001192,3.27024981,-0.904824889,2.687345646,3.867954381,-0.879926639,3.552960843,4.747555725,-0.888851045
-2.792732999,-0.932984521,-0.367227307,-0.920871948,-1.639405096,-0.473898529,2.199,3.506,-0.848,4.727897621,3.340208956,-0.909709729,2.914178491,4.064873306,-0.887006594,3.731706619,4.869141507,-0.894877406
-2.438547995,-0.774509498,-0.371801748,-0.796128797,-1.461392252,-0.471961494,2.297,3.693,-0.856,4.892831487,3.595837461,-0.913643351,3.074541546,4.325138009,-0.890868615,3.708749905,4.966580637,-0.895853072
-2.257857442,-0.498039838,-0.37756601,-0.722904655,-1.336633504,-0.474143043,2.453,3.801,-0.869,5.025031736,3.567046089,-0.916241652,3.215050012,4.59377503,-0.894835383,3.973884195,5.10217454,-0.899760554
-2.183532063,-0.349415566,-0.372204877,-0.4861645,-1.263541655,-0.478229849,2.621,3.999,-0.879,5.106148781,3.628017064,-0.919953406,3.512458123,4.689961644,-0.899055576,3.964031622,5.178598976,-0.901635621
-1.984390765,-0.335772817,-0.373218735,-0.470690542,-1.162295629,-0.473766146,2.773,4.047,-0.885,5.179398152,3.625927123,-0.922646801,3.48919744,4.692726096,-0.901916593,4.140446417,5.389488149,-0.906629881
-1.883611429,-0.02500301,-0.372169456,-0.366656407,-1.222076107,-0.472293078,2.936,4.19,-0.893,5.387977385,3.670451347,-0.926384397,3.702925645,4.890600268,-0.905559676,4.16629605,5.225058369,-0.908254428
-1.591789728,0.060588914,-0.379591116,-0.352478604,-0.968056217,-0.472237139,3.079,4.25,-0.901,5.450355991,3.805767062,-0.928000148,3.799545832,4.915710044,-0.90919145,4.219159231,5.379493133,-0.910289928
-1.635742895,0.09452002,-0.372531702,-0.173791858,-0.959991097,-0.475497552,3.21,4.483,-0.907,5.506771088,4.033269547,-0.929826671,3.865205005,4.992334032,-0.910516514,4.393696509,5.280089366,-0.91355335
-1.470728701,0.260039577,-0.373606148,-0.127983223,-0.901035692,-0.472639506,3.309,4.509,-0.91,5.636296672,4.174932806,-0.932232924,4.070860103,5.164702686,-0.914188528,4.377295591,5.471203597,-0.91381699
-1.171092708,0.361737059,-0.385192835,-0.060362355,-0.784268566,-0.471533717,3.38,4.685,-0.914,5.776777283,4.026779069,-0.935368125,4.073545545,5.0916804,-0.915239949,4.470358156,5.394881694,-0.915578729
-1.341211965,0.412028232,-0.376914323,0.041782538,-0.744447526,-0.472382863,3.58,4.691,-0.919,5.785369458,4.048641199,-0.93509876,4.143365234,5.215148977,-0.91717058,4.57208012,5.512529651,-0.918477578
-1.136879843,0.481746797,-0.378837695,0.157083995,-0.700250294,-0.479612673,3.552,4.798,-0.922,5.789754744,4.061779726,-0.936243811,4.270701908,5.381826456,-0.918989884,4.697773874,5.555859816,-0.920846922
-1.087272309,0.539129638,-0.381044234,0.213412332,-0.623323467,-0.476254069,3.681,4.914,-0.925,5.953695097,4.247141434,-0.938030595,4.305389985,5.538392532,-0.920166951,4.680814654,5.732775036,-0.921969473
-1.001698624,0.655257699,-0.381218947,0.212536211,-0.640655165,-0.470810652,3.795,4.953,-0.93,6.005209046,4.226649687,-0.939723478,4.351113327,5.418632762,-0.922403239,4.764016613,5.837890752,-0.922943704
-1.006016744,0.629131492,-0.382175602,0.339501334,-0.506889314,-0.473034881,3.936,5.064,-0.932,6.074984089,4.153134181,-0.940800801,4.488099128,5.552013095,-0.924107416,4.787889421,5.646869397,-0.923691308
-1.109919108,0.710641569,-0.375767726,0.26862873,-0.45057423,-0.466371982,4.054,5.094,-0.935,6.117454729,4.433908759,-0.941324007,4.445196375,5.662260461,-0.923155796,4.897619262,5.945817486,-0.925094541
-0.958944743,0.667417357,-0.377544916,0.464921931,-0.458142706,-0.471823517,4.06,5.193,-0.936,6.163099504,4.372514408,-0.941923099,4.572285406,5.741195432,-0.923612587,5.032336369,5.91616598,-0.928648971
-0.905664713,0.686073648,-0.381945679,0.436812774,-0.421979157,-0.465909981,4.134,5.178,-0.938,6.16176193,4.422214104,-0.941796091,4.63859722,5.842367125,-0.92475369,4.974226281,5.869554591,-0.928034123
-0.810756821,0.703658912,-0.381065087,0.482317078,-0.372349309,-0.465122019,4.294,5.422,-0.941,6.246644897,4.453616781,-0.942540855,4.708298221,5.810950303,-0.927389028,4.954738796,5.946481514,-0.928144211
-0.761185279,0.834059818,-0.381988166,0.503490708,-0.247131551,-0.466103819,4.319,5.32,-0.942,6.287122557,4.415533429,-0.942889648,4.739606336,5.719958663,-0.928408287,5.006991163,5.894262409,-0.928272218
-0.782457747,0.936888568,-0.381125335,0.621650735,-0.160126862,-0.474963445,4.334,5.565,-0.943,6.306218147,4.503479343,-0.942373668,4.822611019,6.101821987,-0.927939326,5.18522428,5.952776726,-0.929724168
-0.77704185,0.991833407,-0.382202638,0.618164764,-0.290133441,-0.466753609,4.475,5.544,-0.945,6.370185621,4.459742476,-0.944788177,4.921972916,5.780213777,-0.929718403,5.06803824,6.008919835,-0.930716801
-0.816423427,0.838824348,-0.377995247,0.67148431,-0.152268655,-0.467748525,4.517,5.649,-0.946,6.369344019,4.549033495,-0.944457152,4.865056455,6.005550345,-0.931328794,5.201381281,5.948859493,-0.931802735
-0.712056546,0.995629581,-0.382633841,0.757150042,-0.157450345,-0.469221945,4.468,5.591,-0.947,6.493988299,4.600471383,-0.945098091,4.949535802,5.931900104,-0.930541076,5.164290637,6.064870238,-0.933073141
-0.696687423,1.057835728,-0.380560068,0.77879087,-0.127671415,-0.467753612,4.514,5.644,-0.948,6.587980947,4.634326752,-0.946264023,5.053519934,6.181813971,-0.932829687,5.248024672,6.142977126,-0.932687342
-0.800129027,1.103424626,-0.377687369,0.830946365,-0.050725929,-0.46628914,4.532,5.808,-0.949,6.58078349,4.624164822,-0.945799301,5.239486814,5.901877284,-0.935031777,5.391712844,6.107601563,-0.934143087
-0.758326462,1.063372863,-0.376619885,0.821770634,0.052786386,-0.467481247,4.664,5.597,-0.95,6.578457679,4.776444191,-0.945332979,5.113979638,6.05732379,-0.934179028,5.366158336,6.293267949,-0.935196063
-0.633715982,1.126204019,-0.379847373,0.798197759,-0.009019763,-0.460232801,4.765,5.818,-0.952,6.709895672,4.618296977,-0.946650363,5.167834535,6.245296645,-0.934987966,5.253111765,6.205216177,-0.934373502
-0.692834087,1.016807638,-0.377533713,0.8787359,-0.007942858,-0.46453196,4.832,5.976,-0.953,6.723994655,4.688947146,-0.945881982,5.174040109,6.178031349,-0.93525051,5.347431496,6.196634785,-0.93479073
-0.470908628,1.087200044,-0.384993521,0.991473429,0.052767824,-0.464262518,4.736,5.938,-0.953,6.730220472,4.832948545,-0.945875393,5.319090009,6.340732654,-0.937054357,5.434224263,6.219017283,-0.935938165
-0.630925819,0.980025472,-0.379859478,1.022129255,0.108546028,-0.46449736,4.896,5.894,-0.954,6.771630764,4.609115863,-0.947336655,5.232125178,6.293469532,-0.936008386,5.460182339,6.210254471,-0.935907677
-0.482423814,1.047445671,-0.38255361,0.9930007,0.073727709,-0.463603167,4.926,5.729,-0.955,6.807081038,4.40797868,-0.946925494,5.29639335,6.166224837,-0.936084175,5.383555889,6.34383113,-0.936283547
-0.477232489,1.116388282,-0.382023991,1.110802872,0.181732252,-0.463165732,4.895,5.909,-0.956,6.976366828,4.610254274,-0.948336503,3.297826006,5.545929567,-0.814217543,3.355876541,5.83204573,-0.821307912
-0.588125364,1.1526029,-0.377403691,0.92520768,0.252576503,-0.455198321,5.093,5.838,-0.957,6.895965115,4.447903747,-0.947877301,4.899178386,6.085808086,-0.762103451,5.032374695,5.948422408,-0.78600168
-0.486661735,1.245690317,-0.382916239,1.099613397,0.238518547,-0.458925662,4.988,6.03,-0.957,7.01327024,4.721643176,-0.948386661,5.288836628,6.354604133,-0.760070879,5.362076625,6.527595949,-0.785892913
-0.447513869,1.248296709,-0.382234062,1.111560672,0.183191022,-0.459652262,5.075,6.051,-0.957,6.979182459,4.66227415,-0.948309604,5.501674056,6.457324974,-0.756344022,5.665381908,6.407676959,-0.78082324
