Train SISNR,Test SISNR,Train CL Loss
-9.860160873,-3.084358706,-0.608496799
-3.164550668,-0.802841408,-0.829135841
-1.931330709,-0.010385513,-0.874738699
-1.216601372,0.599675184,-0.900439447
-0.702482861,0.974245532,-0.91545363
-0.573699858,1.568390126,-0.924215975
-0.104054157,1.60249851,-0.929932336
0.153011765,1.854683865,-0.935280283
0.391303086,2.031767024,-0.93986381
0.645846876,2.152484339,-0.943714006
0.62436597,2.297098049,-0.945756816
0.947691546,2.440419793,-0.949496394
1.012340429,2.495930898,-0.951310393
1.159076946,2.597868536,-0.9535222
1.228674681,2.768268392,-0.954550624
1.346325193,2.961853184,-0.956120712
1.425017479,3.033500636,-0.957546898
1.628678793,2.990953475,-0.958587686
1.645194701,3.015648164,-0.959658086
1.841248807,3.248392137,-0.961266853
1.895396937,3.28244135,-0.961655569
1.938632256,3.521053457,-0.96233553
2.141165302,3.485539826,-0.963158585
2.200304258,3.487170955,-0.963450713
2.363870768,3.451978378,-0.964080507
2.424196289,3.780968416,-0.964411778
2.582882461,3.9771444,-0.964639065
2.642200708,3.801110872,-0.964944031
2.652108783,4.053071268,-0.964811779
2.781064215,3.975728456,-0.965134947
2.951812835,4.184858867,-0.96545633
3.108948878,4.115700209,-0.965844941
3.216299965,4.390467628,-0.965981549
3.194955633,4.255790122,-0.965478037
3.318639085,4.31268731,-0.965959433
3.299394222,4.463844538,-0.965390799
3.38630783,4.533295087,-0.966129575
3.441414141,4.653332591,-0.966259942
3.486404033,4.78562607,-0.966028219
3.528351159,4.715644892,-0.965568733
3.653830471,4.754503524,-0.966426883
3.689055273,4.701228543,-0.966512828
3.729901586,4.644339808,-0.966390065
3.846059141,4.763037888,-0.966378922
3.844287168,4.9536888,-0.965909118
3.960954189,4.894122823,-0.966630317
3.870089815,4.950709188,-0.965909143
4.018178191,4.926654319,-0.966711161
4.10223576,5.109995166,-0.966922683
4.162950232,5.319218564,-0.967215467
4.058342184,5.189136438,-0.966176564
4.214768308,5.277601171,-0.967151557
4.216946329,5.264628919,-0.967044456
4.204867408,5.06616385,-0.966617008
