Recall, Precision
0.20394737, 0.853211
0.20833333, 0.8558559
0.20833333, 0.8558559
0.21491228, 0.8596491
0.21491228, 0.8596491
0.21710527, 0.8608696
0.21710527, 0.8608696
0.21929824, 0.86206895
0.2631579, 0.8759124
0.26973686, 0.87857145
0.27192983, 0.8794326
0.27192983, 0.8794326
0.2741228, 0.8802817
0.2741228, 0.8802817
0.28070176, 0.8827586
0.28947368, 0.88590604
0.30482456, 0.89102566
0.30701753, 0.89171976
0.30701753, 0.89171976
0.30921054, 0.8924051
0.31798247, 0.89506173
0.31798247, 0.89506173
0.3223684, 0.89634144
0.3267544, 0.89759034
0.40570176, 0.88095236
0.40570176, 0.88095236
0.40789473, 0.8815166
0.40789473, 0.8815166
0.40789473, 0.8815166
0.41885966, 0.8842593
0.42105263, 0.8847926
0.42543858, 0.88584477
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.4758772, 0.48873875
0.54605263, 0.90217394
0.5482456, 0.9025271
0.5482456, 0.9025271
0.5482456, 0.9025271
0.56798244, 0.9055944
0.5745614, 0.90657437
0.5767544, 0.90689653
0.5767544, 0.90689653
0.72587717, 0.8619792
0.72587717, 0.8619792
0.7280702, 0.8601036
0.7280702, 0.8601036
0.7280702, 0.8601036
0.7302632, 0.8604651
0.74561405, 0.8629442
0.75438595, 0.8643216
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
0.9035088, 0.60588235
