Recall, Precision
0.17763157, 0.8901099
0.18201755, 0.8924731
0.18421052, 0.89361703
0.19078948, 0.8969072
0.19078948, 0.8969072
0.19298245, 0.8979592
0.19517544, 0.8989899
0.1995614, 0.9009901
0.21052632, 0.89719623
0.21929824, 0.9009009
0.22149123, 0.90178573
0.23464912, 0.90677965
0.23684211, 0.90756303
0.23903508, 0.90833336
0.24561404, 0.91056913
0.25438598, 0.9133858
0.2609649, 0.90839696
0.2631579, 0.90909094
0.2631579, 0.90909094
0.28070176, 0.9142857
0.28947368, 0.9166667
0.28947368, 0.9166667
0.2982456, 0.9189189
0.30701753, 0.92105263
0.33114034, 0.91515154
0.33114034, 0.91515154
0.34210527, 0.91764706
0.34210527, 0.91764706
0.34649122, 0.9186047
0.3508772, 0.9195402
0.35745615, 0.920904
0.36842105, 0.9230769
0.4100877, 0.9211823
0.4122807, 0.92156863
0.4122807, 0.92156863
0.44078946, 0.92626727
0.47368422, 0.9310345
0.49342105, 0.93360996
0.5065789, 0.9352227
0.5263158, 0.9230769
0.61622804, 0.942953
0.61622804, 0.942953
0.63377196, 0.9413681
0.63596493, 0.9415584
0.63596493, 0.9415584
0.64254385, 0.9272152
0.65570176, 0.9285714
0.65570176, 0.92
0.872807, 0.80404043
0.872807, 0.796
0.872807, 0.796
0.872807, 0.78811884
0.875, 0.78853756
0.875, 0.77176017
0.875, 0.74859285
0.875, 0.704947
0.9385965, 0.5466156
0.9385965, 0.5466156
0.9385965, 0.52839506
0.9385965, 0.5219512
0.9385965, 0.5219512
0.9385965, 0.5150421
0.9385965, 0.5119617
0.94078946, 0.51010704
