Recall, Precision
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 0.75
0.13043478, 0.75
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.2173913, 0.625
0.2173913, 0.625
0.2173913, 0.625
0.26086956, 0.75
0.39130434, 0.75
0.39130434, 0.6
0.5217391, 0.8
0.5217391, 0.8
0.5217391, 0.6666667
0.5217391, 0.6666667
0.5652174, 0.7647059
0.6956522, 0.72727275
0.6956522, 0.72727275
0.6956522, 0.6956522
0.6956522, 0.5
0.73913044, 0.7083333
0.73913044, 0.6296296
0.73913044, 0.425
0.73913044, 0.425
0.73913044, 0.26984128
0.73913044, 0.11971831
0.7826087, 0.5625
0.7826087, 0.47368422
0.8695652, 0.2777778
0.8695652, 0.23255815
0.8695652, 0.16806723
0.8695652, 0.12345679
0.8695652, 0.10638298
0.8695652, 0.098522164
0.8695652, 0.08064516
0.8695652, 0.06711409
0.8695652, 0.054945055
0.8695652, 0.039447732
1, 0.02850062
1, 0.02850062
1, 0.02850062
1, 0.028325124
1, 0.028325124
1, 0.028325124
1, 0.028325124
1, 0.028325124
