Recall, Precision
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 1
0.13043478, 0.75
0.13043478, 0.75
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.6
0.13043478, 0.42857143
0.13043478, 0.42857143
0.13043478, 0.42857143
0.3478261, 0.031746034
0.3478261, 0.031746034
0.3478261, 0.031746034
0.3478261, 0.031746034
0.3478261, 0.031746034
0.3478261, 0.031746034
0.3478261, 0.030303031
0.3478261, 0.028169014
0.4347826, 0.71428573
0.4347826, 0.71428573
0.4347826, 0.71428573
0.4347826, 0.71428573
0.4347826, 0.5555556
0.65217394, 0.5769231
0.65217394, 0.5769231
0.65217394, 0.5769231
0.95652175, 0.6666667
0.95652175, 0.6666667
0.95652175, 0.6666667
0.95652175, 0.6666667
0.95652175, 0.6666667
0.95652175, 0.52380955
0.95652175, 0.52380955
0.95652175, 0.52380955
0.95652175, 0.44
0.95652175, 0.44
0.95652175, 0.44
0.95652175, 0.34920636
0.95652175, 0.3283582
1, 0.12637363
1, 0.12637363
1, 0.12637363
1, 0.12637363
1, 0.12637363
1, 0.12637363
1, 0.123655915
1, 0.115
